ticker,entry_date,return_pct,duration_days,rsi_at_entry,atr_pct_at_entry,dist_atr_at_entry,weekday,month,Date,regime_bull
FTRE,2025-09-25,12.914674284407484,13,21.35304497263797,7.082684464483662,2.6642906025900093,Thursday,9,2025-09-25,True
DYN,2025-09-25,5.755882389061815,4,31.53152582043711,5.551536904885195,1.715485698041392,Thursday,9,2025-09-25,True
PRCH,2025-09-26,-4.408773011229133,28,30.061339317500185,5.05132662835221,7.068651303756819,Friday,9,2025-09-26,True
ULCC,2025-09-26,-10.088063754099949,4,39.09091455630993,7.180861552562141,1.257405268441253,Friday,9,2025-09-26,True
CLYM,2025-09-29,12.776959928306686,17,32.432433184409675,8.271985496666451,2.8661248260740178,Monday,9,2025-09-29,True
ALOY,2025-09-30,7.26296807446393,6,37.074401489724366,6.673338753536469,2.019954888794272,Tuesday,9,2025-09-30,True
RNG,2025-09-30,-4.430066181093662,7,38.30440062002342,4.11637246362073,0.7542275875437084,Tuesday,9,2025-09-30,True
HAPN,2025-09-30,10.07937777018383,21,37.34643065476049,4.380225077276807,3.946557301458309,Tuesday,9,2025-09-30,True
RSI,2025-10-01,-9.567178219809138,28,37.9200017705274,4.236905663058154,5.974811009555372,Wednesday,10,2025-10-01,True
TH,2025-10-01,-9.101977688033768,9,33.4661382989928,4.129822175649749,2.200847389562386,Wednesday,10,2025-10-01,True
ILPT,2025-10-01,-5.41999913396065,28,22.962941008771026,4.256275304609114,4.795604800743723,Wednesday,10,2025-10-01,True
CC,2025-10-07,-17.01550653567096,3,29.032262944454345,4.956165208178306,2.577668085212935,Tuesday,10,2025-10-07,True
TDAY,2025-10-07,-10.190002442873382,3,27.71082214090194,4.043558415745438,1.6660459762367985,Tuesday,10,2025-10-07,True
SVRA,2025-10-09,2.706444879995991,6,37.77777660246805,4.147942139228531,3.952264439903305,Thursday,10,2025-10-09,True
WBD,2025-10-09,11.163838256836636,12,30.51644338580553,4.96718255516176,6.750589284119522,Thursday,10,2025-10-09,True
CSTM,2025-10-10,5.162433149150442,4,36.84209733359581,4.304723551810853,2.635130993090055,Friday,10,2025-10-10,True
CRNC,2025-10-10,12.608540294182388,4,35.093163854436995,8.647909299351038,1.0005295116441095,Friday,10,2025-10-10,True
AXGN,2025-10-10,7.081642780076983,10,30.969257762947947,4.570724334786004,2.12197823542298,Friday,10,2025-10-10,True
CLMT,2025-10-10,4.14237128309755,3,33.2191752385299,4.196481889871833,4.190826713465491,Friday,10,2025-10-10,True
APA,2025-10-10,9.751294530699658,13,39.601494741092,4.770576968310148,2.2017245773831724,Friday,10,2025-10-10,True
CALY,2025-10-10,11.046187097139391,4,34.45693053113945,4.74076274623422,0.999623712763068,Friday,10,2025-10-10,True
DBRG,2025-10-10,6.516791926590725,3,21.634616782018117,4.243239169106521,1.7155470182787442,Friday,10,2025-10-10,True
ZETA,2025-10-10,5.826579525710799,28,27.615573196999108,6.845310481703429,2.116015155363725,Friday,10,2025-10-10,True
DRTS,2025-10-10,8.343036295633748,3,37.62375891228344,6.4734881848966825,2.70793813275722,Friday,10,2025-10-10,True
OBE,2025-10-14,-8.038561074165298,21,32.984284848026746,4.374400432409641,1.6723485827643365,Tuesday,10,2025-10-14,True
NE,2025-10-14,5.631162100045402,8,39.25437696120188,4.223486990728329,0.9760516714630028,Tuesday,10,2025-10-14,True
AMCX,2025-10-15,8.565065095091986,26,32.710295986375286,4.661129920657754,1.7217785794208866,Wednesday,10,2025-10-15,True
CVI,2025-10-16,7.047172581185193,6,33.03370087826603,4.295811519797265,4.840397146906779,Thursday,10,2025-10-16,True
FSLY,2025-10-17,7.349693388859181,10,37.06071001046647,5.934907749834174,1.4855825562053442,Friday,10,2025-10-17,True
DRTS,2025-10-17,9.15730012702943,4,34.177228448730006,6.975583753979378,2.259156226315,Friday,10,2025-10-17,True
DSGN,2025-10-17,13.170766263636782,10,39.16015762539745,9.756007802218615,2.0757925673568858,Friday,10,2025-10-17,True
SKYT,2025-10-17,15.439842651492604,7,38.26194294294647,11.457884452457211,2.8017705727271283,Friday,10,2025-10-17,True
PACS,2025-10-17,7.43916924195029,19,28.80437870187187,5.974563644979209,1.324902910978626,Friday,10,2025-10-17,True
SNDX,2025-10-17,8.055721664685855,3,35.03563692390513,5.942617025460251,2.1636219907660963,Friday,10,2025-10-17,True
HPE,2025-10-20,6.813089282510859,8,39.78235462936695,4.49305303086254,3.06135927781709,Monday,10,2025-10-20,True
CMP,2025-10-21,-4.279810389344359,6,38.82353198064478,5.008376130239461,0.5212027463011997,Tuesday,10,2025-10-21,True
TGB,2025-10-21,11.428360342979431,7,38.17204506654795,5.860462137747387,3.4888412682088448,Tuesday,10,2025-10-21,True
SGHC,2025-10-21,0.7165188643782742,28,29.84293574905084,4.8706433766657575,2.977333065533861,Tuesday,10,2025-10-21,True
GTBIF,2025-10-22,-9.77374443143592,15,35.93232477981323,10.208342147288493,0.9126611021741056,Wednesday,10,2025-10-22,True
UMAC,2025-10-23,18.527044055177285,1,26.16525819024858,11.921405871267323,2.011632065413988,Thursday,10,2025-10-23,True
SNDX,2025-10-24,13.705152392295233,11,25.470091985713708,7.517954065713332,1.0013638045807518,Friday,10,2025-10-24,True
TRLV,2025-10-27,-26.203983795603,18,35.07461955395959,9.680346050023791,2.5569216619074773,Monday,10,2025-10-27,True
BCAX,2025-10-29,9.7868541620587,23,38.09999370009023,7.895198196104998,2.7694352125849804,Wednesday,10,2025-10-29,True
SLDB,2025-10-30,-17.22626634615307,5,38.007380396875966,7.676386918524898,1.0751944699270175,Thursday,10,2025-10-30,True
OSCR,2025-10-31,-19.01450190544129,10,36.98482204640446,7.503675774818241,1.2196985069075308,Friday,10,2025-10-31,True
CTOS,2025-10-31,-9.528518279095463,20,35.64356247335506,5.309645699753104,2.019793901843227,Friday,10,2025-10-31,True
TILE,2025-10-31,9.02771557616751,25,35.48387506182597,4.033711433302342,1.6311654219247471,Friday,10,2025-10-31,True
RSI,2025-10-31,9.860689516127207,31,39.5021656263404,5.762940113642986,0.8525377787846753,Friday,10,2025-10-31,True
TSHA,2025-11-03,-9.1596433151173,29,36.34578054315997,9.22938883627466,3.841063987453789,Monday,11,2025-11-03,True
CMPS,2025-11-03,9.370255289807211,1,30.044848134494387,6.496066149349152,3.769572533438663,Monday,11,2025-11-03,True
SLS,2025-11-03,-7.455307151065741,1,37.50000236079975,8.70187179424637,0.5435588584278028,Monday,11,2025-11-03,True
ZVRA,2025-11-04,-7.3430011458703826,2,23.815787140447824,5.773732848306745,0.7903898862216707,Tuesday,11,2025-11-04,True
SKYT,2025-11-04,25.540249984874706,2,32.16449997013662,10.224556235637388,2.205238407476988,Tuesday,11,2025-11-04,True
AIP,2025-11-04,16.26080143013996,1,36.48124006099236,7.413174868694249,3.3606217901730853,Tuesday,11,2025-11-04,True
ABCL,2025-11-04,-25.84168438079218,9,28.421058656064844,7.445053274354034,2.829030701175277,Tuesday,11,2025-11-04,True
MRAM,2025-11-04,8.210358285260712,1,32.48731169741836,6.445930836639765,4.513242659049319,Tuesday,11,2025-11-04,True
COGT,2025-11-04,131.515272881451,6,29.037792818520984,6.304797040383541,4.722324314761051,Tuesday,11,2025-11-04,True
CEVA,2025-11-04,6.522349504399102,6,35.5458523723825,5.310389770301735,1.842421646032402,Tuesday,11,2025-11-04,True
AOSL,2025-11-04,-25.459885215320803,2,30.303032573761783,6.046340145533617,0.5130208472832875,Tuesday,11,2025-11-04,True
CLDX,2025-11-04,11.507356226101656,22,32.391527940390105,5.210993484821111,1.2954392759879296,Tuesday,11,2025-11-04,True
APPS,2025-11-04,34.56249858640338,1,31.818181119546523,7.210833202162484,2.4314331315401265,Tuesday,11,2025-11-04,True
